type,title,rating,ratinglevel,ratingdescription,release_year,user_rating_score,user_rating_size
TVshow,Friends with Benefits,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2011,,82
TVshow,The Carrie Diaries,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,,82
TVshow,Baby Daddy,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,80,80
TVshow,Halt and Catch Fire,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,,82
TVshow,The Angriest Man in Brooklyn,R,Restricted. May be inappropriate for children 17 and under.,100,2014,,82
TVshow,5 to 7,R,some sexual material,100,2014,,82
TVshow,Chef's Table,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,,82
TVshow,Grace and Frankie,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,90,80
TVshow,Unbreakable Kimmy Schmidt,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,,82
TVshow,The Get Down,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,80,80
TVshow,Sense8,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,81,80
TVshow,Love,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,,82
TVshow,Bordertown,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,86,80
TVshow,Girlfriends' Guide to Divorce,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,63,80
TVshow,Schitt's Creek,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,74,80
TVshow,The Carmichael Show,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,69,80
TVshow,Chelsea,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,,82
TVshow,Abstract: The Art of Design,TV-14,,90,2017,,82
TVshow,Cooper Barrett's Guide to Surviving Life,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,,82
TVshow,The Great British Baking Show,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2016,94,80
TVshow,Life in Pieces,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,68,80
TVshow,Crazy Ex-Girlfriend,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2017,,82
TVshow,Fried,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2015,,82
TVshow,The Great Gilly Hopkins,PG,for thematic material and language,60,2016,69,80
TVshow,The Magicians,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,89,80
